dataset,mode,scheduler,scheduler_ablation,split_protocol,noise_multiplier,dp_enabled,rounds,n,seeds,experiment_names,final_accuracy_mean,final_accuracy_std,final_macro_f1_mean,final_macro_f1_std,uplink_mb_mean,uplink_mb_std,downlink_mb_mean,downlink_mb_std,time_s_mean,time_s_std,energy_j_mean,energy_j_std,epsilon_max_mean,epsilon_max_std
cifar10,Count-only-transfer,mobile,,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_count_only_transfer_mobile_sigma05_seed42_indsplit_trace_20260419_210624|palmfl_v8_cifar10_count_only_transfer_mobile_sigma05_seed43_indsplit_trace_20260419_235356|palmfl_v8_cifar10_count_only_transfer_mobile_sigma05_seed44_indsplit_trace_20260420_023531,0.28734375,0.02453722061099223,0.18764634371424715,0.027494061076931937,0.00019073486328125,0.0,0.00034332275390625,0.0,41.44083517240861,16.66722651546118,16.43186382643382,5.2994249178584525,81.89040670331741,1.782131017127136
cifar10,FedAvg-small_cnn,mobile,,independent,0.0,false,20,1,42,fedavg_cifar10_small_cnn_seed42_indsplit_trace_20260419_022549,0.5939,0.0,0.5464199781417847,0.0,1.729248046875,0.0,1.729248046875,0.0,13.58377856824284,0.0,9.27021424713135,0.0,0.0,0.0
cifar10,Histogram-only,mobile,,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_histogram_only_mobile_sigma05_seed42_indsplit_trace_20260419_193138|palmfl_v8_cifar10_histogram_only_mobile_sigma05_seed43_indsplit_trace_20260419_220508|palmfl_v8_cifar10_histogram_only_mobile_sigma05_seed44_indsplit_trace_20260420_010853,0.2696354166666667,0.025164174476492038,0.17375712838644783,0.028115733658011947,0.00019073486328125,0.0,0.0,0.0,38.497728118983034,20.189131463939066,12.63488290309906,6.870964501424441,81.89040670331741,1.782131017127136
cifar10,Histogram-only,random,,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_histogram_only_random_sigma05_seed42_indsplit_trace_20260419_194531|palmfl_v8_cifar10_histogram_only_random_sigma05_seed43_indsplit_trace_20260419_222444|palmfl_v8_cifar10_histogram_only_random_sigma05_seed44_indsplit_trace_20260420_012241,0.32276041666666666,0.025880176364272218,0.21319698716203372,0.02701293302807516,0.00019073486328125,0.0,0.0,0.0,79.12304280349667,17.474746886887882,19.104811030228934,9.716480925739624,56.06545591971953,5.227860425446768
cifar10,Local-only,mobile,,independent,0.0,false,20,1,42,palmfl_v8_cifar10_local_only_seed42_indsplit_trace_20260419_012011,0.25999999999999995,0.0,0.15891329515725375,0.0,0.0,0.0,0.0,0.0,58.98398525743599,0.0,10.358624725341798,0.0,0.0,0.0
cifar10,Mean-only,mobile,,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_mean_only_mobile_sigma05_seed42_indsplit_trace_20260419_200310|palmfl_v8_cifar10_mean_only_mobile_sigma05_seed43_indsplit_trace_20260419_223922|palmfl_v8_cifar10_mean_only_mobile_sigma05_seed44_indsplit_trace_20260420_013833,0.285625,0.03186733976581666,0.18605726885919768,0.03231729629505997,0.00995635986328125,0.0,0.0,0.0,41.09268284091186,16.529046844617877,16.29459273036321,5.254418420800517,138.851457001405,3.1967217692500047
cifar10,Mean-only,random,,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_mean_only_random_sigma05_seed42_indsplit_trace_20260419_201828|palmfl_v8_cifar10_mean_only_random_sigma05_seed43_indsplit_trace_20260419_225908|palmfl_v8_cifar10_mean_only_random_sigma05_seed44_indsplit_trace_20260420_015208,0.32729166666666665,0.02253487603739665,0.21629742930332818,0.02112570206953144,0.00995635986328125,0.0,0.0,0.0,79.13164396372702,17.47842296771808,19.10707458003362,9.71647428195343,92.95687835359274,9.182887189636281
cifar10,PALM-transfer,mobile,,independent,0.5,true,20,1,42,palmfl_v8_cifar10_stats_transfer_mobile_sigma05_seed42_indsplit_trace_20260419_015128,0.2546875,0.0,0.14869245421141386,0.0,0.01972198486328125,0.0,0.01987457275390625,0.0,59.50529201528867,0.0,10.45409077835083,0.0,194.33844377699677,0.0
cifar10,PALM-transfer,mobile,no_deficit,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_stats_transfer_mobile_no_deficit_sigma05_seed42_indsplit_trace_20260419_213254|palmfl_v8_cifar10_stats_transfer_mobile_no_deficit_sigma05_seed43_indsplit_trace_20260420_003320|palmfl_v8_cifar10_stats_transfer_mobile_no_deficit_sigma05_seed44_indsplit_trace_20260420_030227,0.28484375,0.026418266496640135,0.18114352788155277,0.028118451812666763,0.01972198486328125,0.0,0.01987457275390625,0.0,41.4472967874275,16.677470348442224,16.437641983985902,5.2982414205852715,191.7110132982489,4.5508430825463435
cifar10,PALM-transfer,random,,independent,0.5,true,20,1,42,palmfl_v8_cifar10_stats_transfer_random_sigma05_seed42_indsplit_trace_20260419_020611,0.2946875,0.0,0.17871097922325135,0.0,0.01972198486328125,0.0,0.01987457275390625,0.0,59.50529201528867,0.0,9.820610449790955,0.0,129.58231094625697,0.0
cifar10,PALM-transfer,random,no_deficit,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_stats_transfer_random_no_deficit_sigma05_seed42_indsplit_trace_20260419_214712|palmfl_v8_cifar10_stats_transfer_random_no_deficit_sigma05_seed43_indsplit_trace_20260420_005343|palmfl_v8_cifar10_stats_transfer_random_no_deficit_sigma05_seed44_indsplit_trace_20260420_031627,0.3282291666666667,0.03174811346101266,0.21325223793586096,0.03047852857985256,0.01972198486328125,0.0,0.01987457275390625,0.0,79.83113599757093,17.63831170162569,19.27653856754303,9.79914761689151,126.6936993591937,12.92851016661988
cifar10,PALM-transfer-no-noise,mobile,,independent,0.0,false,20,3,"42,43,44",palmfl_v8_cifar10_stats_transfer_mobile_no_noise_seed42_indsplit_trace_20260419_205201|palmfl_v8_cifar10_stats_transfer_mobile_no_noise_seed43_indsplit_trace_20260419_233334|palmfl_v8_cifar10_stats_transfer_mobile_no_noise_seed44_indsplit_trace_20260420_022127,0.28203125,0.018616713760758102,0.18000241682554285,0.02372843964501393,0.01972198486328125,0.0,0.01987457275390625,0.0,41.4472967874275,16.677470348442224,16.437641983985902,5.2982414205852715,0.0,0.0
cifar10,Stats-only,mobile,,independent,0.5,true,20,1,42,palmfl_v8_cifar10_stats_upload_only_seed42_indsplit_trace_20260419_013716,0.25921874999999994,0.0,0.15634226929396391,0.0,0.01972198486328125,0.0,0.0,0.0,58.9936057378571,0.0,10.362264417648316,0.0,194.33844377699677,0.0
cifar10,Stats-only,mobile,no_deficit,independent,0.5,true,20,3,"42,43,44",palmfl_v8_cifar10_stats_upload_only_no_deficit_sigma05_seed42_indsplit_trace_20260419_211938|palmfl_v8_cifar10_stats_upload_only_no_deficit_sigma05_seed43_indsplit_trace_20260420_001337|palmfl_v8_cifar10_stats_upload_only_no_deficit_sigma05_seed44_indsplit_trace_20260420_024900,0.28734375,0.02453722061099223,0.18764634371424715,0.027494061076931937,0.01972198486328125,0.0,0.0,0.0,41.09429824466659,16.53160777544967,16.29603726975123,5.254122545537128,191.7110132982489,4.5508430825463435
cifar10,Stats-only-no-noise,mobile,,independent,0.0,false,20,3,"42,43,44",palmfl_v8_cifar10_stats_upload_only_no_noise_seed42_indsplit_trace_20260419_203736|palmfl_v8_cifar10_stats_upload_only_no_noise_seed43_indsplit_trace_20260419_231347|palmfl_v8_cifar10_stats_upload_only_no_noise_seed44_indsplit_trace_20260420_020755,0.28328125000000004,0.017289470242028843,0.18595482523863513,0.020827419297298075,0.01972198486328125,0.0,0.0,0.0,41.09429824466659,16.53160777544967,16.29603726975123,5.254122545537128,0.0,0.0
mnist,Count-only-transfer,mobile,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_count_only_transfer_mobile_sigma05_seed42_indsplit_trace_20260419_170242|palmfl_v8_mnist_count_only_transfer_mobile_sigma05_seed43_indsplit_trace_20260419_184328|palmfl_v8_mnist_count_only_transfer_mobile_sigma05_seed44_indsplit_trace_20260419_191503,0.5209375,0.028447800332363115,0.4129083640873432,0.04213244235035548,0.00019073486328125,0.0,0.00034332275390625,0.0,20.880996858275793,4.404234322189769,4.8662065483729045,1.1891961619377638,61.70473491402545,1.9088455081156397
mnist,FedAvg-small_cnn,mobile,,independent,0.0,false,15,3,"42,43,44",fedavg_mnist_small_cnn_seed42_indsplit_trace_20260419_001813|fedavg_mnist_small_cnn_seed43_indsplit_trace_20260419_004215|fedavg_mnist_small_cnn_seed44_indsplit_trace_20260419_010906,0.9598333333333333,0.013542648682341759,0.9594213763872782,0.013747964662210682,1.599609375,0.0,1.599609375,0.0,8.296308493574013,0.837880949558103,3.4628635345458982,0.5202019322829307,0.0,0.0
mnist,FedMD-proxy,mobile,,independent,0.0,false,15,3,"42,43,44",fedmd_mnist_proxy_seed42_indsplit_trace_20260419_002409|fedmd_mnist_proxy_seed43_indsplit_trace_20260419_004742|fedmd_mnist_proxy_seed44_indsplit_trace_20260419_011543,0.45682999999999996,0.04176570483063825,0.34359201074888307,0.05243161122280616,0.078125,0.0,0.078125,0.0,11.95517165491141,10.49139608535982,3.5479789962768558,1.25108034267139,0.0,0.0
mnist,FedProto-style,mobile,,independent,0.5,true,15,3,"42,43,44",fedproto_mnist_mobile_sigma05_seed42_indsplit_trace_20260419_002013|fedproto_mnist_mobile_sigma05_seed43_indsplit_trace_20260419_004414|fedproto_mnist_mobile_sigma05_seed44_indsplit_trace_20260419_011132,0.50234375,0.039661347190148494,0.3958643529564142,0.043595416640106556,0.01483917236328125,0.0,0.01499176025390625,0.0,16.248807072435717,6.346486597425248,6.887023910840353,1.7449704625415525,140.6877144034912,4.77031901899367
mnist,Histogram-only,mobile,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_histogram_only_mobile_sigma05_seed42_indsplit_trace_20260419_155309|palmfl_v8_mnist_histogram_only_mobile_sigma05_seed43_indsplit_trace_20260419_182523|palmfl_v8_mnist_histogram_only_mobile_sigma05_seed44_indsplit_trace_20260419_185544,0.4895833333333333,0.05086035505328131,0.38577029065539437,0.04850517405438407,0.00019073486328125,0.0,0.0,0.0,11.55186641214145,9.9120322299875,3.3411578839619955,2.3209343943925544,61.70473491402545,1.9088455081156397
mnist,Histogram-only,random,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_histogram_only_random_sigma05_seed42_indsplit_trace_20260419_160359|palmfl_v8_mnist_histogram_only_random_sigma05_seed43_indsplit_trace_20260419_182821|palmfl_v8_mnist_histogram_only_random_sigma05_seed44_indsplit_trace_20260419_185853,0.5651041666666666,0.034642543126491614,0.4527083287636439,0.03908750358289248,0.00019073486328125,0.0,0.0,0.0,22.76831516855205,12.088600006367137,6.725250190416972,1.0723641368227177,45.57562421463914,2.105361897891683
mnist,Local-only,mobile,,independent,0.0,false,15,3,"42,43,44",palmfl_v8_mnist_local_only_seed42_indsplit_trace_20260419_000130|palmfl_v8_mnist_local_only_seed43_indsplit_trace_20260419_002741|palmfl_v8_mnist_local_only_seed44_indsplit_trace_20260419_005220,0.5211979166666667,0.04208736186369767,0.415903631473581,0.04850452146741458,0.0,0.0,0.0,0.0,16.24379622362771,6.338869901658554,5.918247324625652,0.9221760442116326,0.0,0.0
mnist,Mean-only,mobile,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_mean_only_mobile_sigma05_seed42_indsplit_trace_20260419_161516|palmfl_v8_mnist_mean_only_mobile_sigma05_seed43_indsplit_trace_20260419_183122|palmfl_v8_mnist_mean_only_mobile_sigma05_seed44_indsplit_trace_20260419_190212,0.5080208333333333,0.027559564989234394,0.4064008112996817,0.031517585236815554,0.00751495361328125,0.0,0.0,0.0,16.245058547432286,6.340788532866466,5.919447118282318,0.9223014427751206,102.88464464810222,3.375923120955156
mnist,Mean-only,random,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_mean_only_random_sigma05_seed42_indsplit_trace_20260419_162559|palmfl_v8_mnist_mean_only_random_sigma05_seed43_indsplit_trace_20260419_183417|palmfl_v8_mnist_mean_only_random_sigma05_seed44_indsplit_trace_20260419_190522,0.5569791666666666,0.042373528889164146,0.4449150184790293,0.0535668726729043,0.00751495361328125,0.0,0.0,0.0,22.77358227680405,12.090690605956372,6.72685828367869,1.072400240981497,74.60729746349533,3.6538392646050317
mnist,PALM-transfer,mobile,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed42_indsplit_trace_20260419_000947|palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed43_indsplit_trace_20260419_003412|palmfl_v8_mnist_stats_transfer_mobile_sigma05_seed44_indsplit_trace_20260419_010004,0.5128645833333333,0.038532762203361874,0.4056038400779168,0.04218142889514338,0.01483917236328125,0.0,0.01499176025390625,0.0,16.59441975804482,6.481356152927972,6.87719930712382,1.0570734080387836,140.6877144034912,4.77031901899367
mnist,PALM-transfer,mobile,no_deficit,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_stats_transfer_mobile_no_deficit_sigma05_seed42_indsplit_trace_20260419_173136|palmfl_v8_mnist_stats_transfer_mobile_no_deficit_sigma05_seed43_indsplit_trace_20260419_184919|palmfl_v8_mnist_stats_transfer_mobile_no_deficit_sigma05_seed44_indsplit_trace_20260419_192128,0.5054687499999999,0.034681516938961876,0.4022614962110917,0.040268041029355744,0.01483917236328125,0.0,0.01499176025390625,0.0,16.59441975804482,6.481356152927972,6.013901177724202,0.9558536139294154,140.6877144034912,4.77031901899367
mnist,PALM-transfer,random,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_stats_transfer_random_sigma05_seed42_indsplit_trace_20260419_001348|palmfl_v8_mnist_stats_transfer_random_sigma05_seed43_indsplit_trace_20260419_003749|palmfl_v8_mnist_stats_transfer_random_sigma05_seed44_indsplit_trace_20260419_010425,0.5611458333333333,0.039910891142278894,0.44585212171077726,0.046080998084662844,0.01483917236328125,0.0,0.01499176025390625,0.0,23.27405981649924,12.354280789777835,6.8748474814097085,1.0953279704415826,100.91708272856086,5.110695390605791
mnist,PALM-transfer,random,no_deficit,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed42_indsplit_trace_20260419_174544|palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed43_indsplit_trace_20260419_185231|palmfl_v8_mnist_stats_transfer_random_no_deficit_sigma05_seed44_indsplit_trace_20260419_192451,0.5548958333333334,0.039257119345041565,0.4426396667957306,0.04497350276934534,0.01483917236328125,0.0,0.01499176025390625,0.0,23.27405981649924,12.354280789777835,6.8748474814097085,1.0953279704415826,100.91708272856086,5.110695390605791
mnist,PALM-transfer-no-noise,mobile,,independent,0.0,false,15,3,"42,43,44",palmfl_v8_mnist_stats_transfer_mobile_no_noise_seed42_indsplit_trace_20260419_164911|palmfl_v8_mnist_stats_transfer_mobile_no_noise_seed43_indsplit_trace_20260419_184010|palmfl_v8_mnist_stats_transfer_mobile_no_noise_seed44_indsplit_trace_20260419_191147,0.5216666666666667,0.028864553259938565,0.4162519813825687,0.03318738031064947,0.01483917236328125,0.0,0.01499176025390625,0.0,17.964945293012253,9.479736803401357,4.477028752009074,1.1425285695066856,0.0,0.0
mnist,Stats-only,mobile,,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_stats_upload_only_seed42_indsplit_trace_20260419_000532|palmfl_v8_mnist_stats_upload_only_seed43_indsplit_trace_20260419_003055|palmfl_v8_mnist_stats_upload_only_seed44_indsplit_trace_20260419_005603,0.5159374999999999,0.047373392123110654,0.4103654395788908,0.05262584873982807,0.01483917236328125,0.0,0.0,0.0,16.246288832561618,6.342658566913898,5.980221777598063,0.8473628996992196,140.6877144034912,4.77031901899367
mnist,Stats-only,mobile,no_deficit,independent,0.5,true,15,3,"42,43,44",palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed42_indsplit_trace_20260419_171717|palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed43_indsplit_trace_20260419_184621|palmfl_v8_mnist_stats_upload_only_no_deficit_sigma05_seed44_indsplit_trace_20260419_191813,0.51015625,0.04089543401698413,0.40556316388150054,0.04657158034137836,0.01483917236328125,0.0,0.0,0.0,16.246288832561618,6.342658566913898,5.920616460323334,0.9224236668501385,140.6877144034912,4.77031901899367
mnist,Stats-only-no-noise,mobile,,independent,0.0,false,15,3,"42,43,44",palmfl_v8_mnist_stats_upload_only_no_noise_seed42_indsplit_trace_20260419_163805|palmfl_v8_mnist_stats_upload_only_no_noise_seed43_indsplit_trace_20260419_183711|palmfl_v8_mnist_stats_upload_only_no_noise_seed44_indsplit_trace_20260419_190841,0.5131770833333333,0.05103071736300921,0.4059783002982537,0.05520198129360204,0.01483917236328125,0.0,0.0,0.0,16.246288832561618,6.342658566913898,5.9802217775980635,0.8473628996992192,0.0,0.0
